Word,Risk_Rating,Synonyms,Exceptions,Suggestions,Compliance Notes
Acid Reflux,medium,"heartburn, GERD, gastroesophageal reflux disease",,Helps with occasional stomach discomfort,
Acne,medium,,,supports skin vitality,"Acne may be considered a disease claim, whereas non-cystic acne is lower risk."
Addictive substance withdrawal,high,"Addictive substance withdrawl, opioid, withdrawal symptoms, drug withdrawal, helps you get over drugs",,,This and similar words are on the Amazon prohibited word list.
ADHD,high,,,,"This is high risk and should be avoided. This and similar words are on the Amazon prohibited word list. , The acronym ""ADD"" has not been added to this list, but you may want to add it to your searches as an ""Exact Match."" https://apexcomplianceprogram.com/help/#qaef-263"
Adrenal Dysfunction,high,"adrenal gland disorder, adrenal fatigue",,"adrenal support, nourishes the adrenals",
Afib,high,"atrial fibrilation, irregular heartbeat, atrial tachycardia",,cardiovascular system support,"Use caution with any heart disease-related statements. ""Heart rhythm support"" has some risk, but it may be within your risk tolerance. If using within Apex Compliance click the ""exact match"" button that only searches for ""Afib"" but not ""Afib"" contained within other words. https://apexcomplianceprogram.com/help/#qaef-263"
All-natural,medium,"Nature-derived, All-natrual, all natural, 100% natural",,naturally derived,"Claims like 'all natural' are frequent targets in plaintiff lawsuits, particularly quantifiable claims such as '100% natural.' To mitigate risk, avoid definitive statements like 'all natural' and, when substantiated, opt for language such as 'Our products are made from naturally derived ingredients.;false
ESG Claims;01J0VBVWZ2YEAW35E6Y124QD6N;asa_company;Locally sourced;medium;;;We prioritize materials sourced from local suppliers.;;false
ESG Claims;01J0VBVWZ301YQJB8HHNRZHW3H;asa_company;Non-GMO;medium;Non GMO, GMO-Free, Without Genetically Modified Organisms, GMO Free, No GMO;;;Learn about the Non-GMO Project here. Many retailers require third-party certification for products labeled as non-GMO unless they are certified organic. https://www.nongmoproject.org/verification-faq/;false
ESG Claims;01J0VBVWZ32W78WCVAERF0A61G;asa_company;Carbon-neutral;medium;Low carbon emissions, Greenhouse gas reduction, Net neutral;;Our operations are designed to offset carbon emissions through verified programs., Climate aware;Carbon neutral claims are frequently targeted in plaintiff lawsuits. To mitigate risk, avoid broad statements like 'carbon neutral' and, when substantiated, use specific language such as 'Our operations are designed to offset carbon emissions through verified programs.' For more insights, refer to the article. https://katten.com/district-court-refuses-to-dismiss-putative-class-action-challenging-meaning-of-carbon-neutral-claim, , Additional Insight: Being transparent about the methods used to achieve carbon neutrality, such as specifying the types of offset projects or the scope of emissions covered, can further reduce legal risks and enhance consumer trust.;false
ESG Claims;01J0VBVWZ363G760RV284C6891;asa_company;Plant-based;medium;Plant based;;;, The key issues surrounding plant-based"" litigation stem from the lack of a legal definition for ""plant-based,"" which leaves these claims open to interpretation. Labeling a product as ""plant-based"" may mislead consumers if the product contains animal-derived ingredients. Furthermore, lawsuits argue that such claims deceive consumers by implying that the products are vegan or vegetarian, even when they are not."
Allergies,medium,"histamine reaction, histamine response",,"seasonal support, seasonal comfort",
Alpha Gal Syndrome,medium,tick-induced allergy,,unique dietary reaction,"Does ""red meat allergy support"" or ""sensitivity common in tick prone areas"" work here?"
ALS,high,,,,"This and similar words are on the Amazon prohibited word list. The keywords ""amyotrophic lateral sclerosis"" and ""Lou Gehrig's"" are also added."
ALZ,high,,,,This is high risk and should be avoided. This and similar words are on the Amazon prohibited word list.
Alzheimer,high,"Alzheimers, dementia, Alzehimer",,,This is high risk and should be avoided. This and similar words are on the Amazon prohibited word list.
Amlyoidosis,medium,"amyloid disease, protein folding disorder",,cellular support,
Amyotrophic lateral sclerosis,high,"Lou Gehrig's , Muscle wasting disease",,,This and similar words are on the Amazon prohibited word list.
Anemia,medium,"hematologic disorder, iron deficiency, low hemoglobin",,"lack of energy, low vitality",Sticking to conversations about how iron supplementation or diets rich in iron can help prevent nutrient deficiencies such as sluggishness and foggy thinking may be one way to speak about this.
Aneurysm Prevention,high,"prevention of aneurysm, reventing vascular ballooning",,"supports vascular integrity, encourages healthy blood flow, fosters robust vascular system",
Anorexia,high,,,,This is high risk and should be avoided.
Anti-bacterial,high,"antibacterial, antibacteria, prevents bacteria, prevents bacterial, reduce bacteria",,germ-resistant and microbe-fighting properties,"Other than ""antioxidant"" and perhaps ""anti-aging,"" words containing ""anti"" should be avoided.  This and similar words are on the Amazon prohibited word list."
Anti-depressant,high,"antidepressant, antidepressive, Antidedpressant, SSRI, Serotonin reuptake inhibitor",,,This and similar words are on the Amazon prohibited word list. .
Anti-fungal,high,"antifungal, prevents fungal, Anti-fungus",,,"Other than ""antioxidant"" and perhaps ""anti-aging,"" words containing ""anti"" should be avoided.  This and similar words are on the Amazon prohibited word list."
Anti-hypertensive,high,"antihypertensive, hypertensive, Blood pressure-lowering medication, Hypertension, Heart disease",,"heart support, cardiovascular support","Other than ""antioxidant"" and perhaps ""anti-aging,"" words containing ""anti"" should be avoided. ""Antihypertensive"" or ""hypertensive"" is risky because it's in the heart disease prevention category. This and similar words are on the Amazon prohibited word list."
Anti-inflammatory,medium,"antiinflammatory, prevents inflammation, reduces inflammation, fighting inflammation",,"body support, soothing properties, muscle resilience, supports optimal discomfort levels","It is unclear if this is on the Amazon prohibited word list, but caution should be used., ,  Other than ""antioxidant"" and perhaps ""anti-aging,"" words containing ""anti"" should be avoided. Use caution, as risk is elevated when used in the context of disease symptoms such as arterial blockage or elevated cholesterol levels. ""Supporting optimal inflammation levels"" is a slightly lower risk than ""anti-inflammatory."", , Here's a post about inflammation claims. https://www.asawaldstein.com/warning-letter-wednesday/lessons-from-inflammation-warning-letters"
Anti-microbial,high,antimicrobial,,Microbe-fighting,"Other than ""antioxidant"" and perhaps ""anti-aging,"" words containing ""anti"" should be avoided.  This and similar words are on the Amazon prohibited word list."
Anti-viral,high,antiviral,,,"This and similar words are on the Amazon prohibited word list. , , Discussions about preventing viruses are especially risky and should be removed. Other than ""antioxidant"" and perhaps ""anti-aging,"" words containing ""anti"" should be avoided."
Anxiety,high,anxiolytic,,"mood support,  happy mood support, supports happiness , occasional anxiety, calming support","If accurate, replacing occurrences of ""anxiety"" with ""occasional anxiety"" may be an alternative, as it is not enforced in the same manner as ""anxiety"" statements, which may be disease-related. Here is a post about the FDA crackdown on anxiety-related claims. https://www.asawaldstein.com/warning-letter-wednesday/anxiety-claims-enforcement-up-95%25-in-2021"
Appendix,medium,appendicitis,,supports appendix wellness,Avoid mentioning symptoms related to appendix issues.
